"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL3857958";"F";"Selectivity index, ratio of CC50 for mouse J774 cells to IC50 for promastigote form of Leishmania infantum MCAN/ES/96/BCN150";"";"6";"6";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"J774";"";"CHEMBL3856220";"27318121";"10.1016/j.ejmech.2016.06.004";"2016";"Eur J Med Chem";"121";"445";"450";"";"";"";"";"";""
"CHEMBL935529";"F";"Antileishmanial activity against Leishmania major egfp promastigotes at 10 ug/ml";"Leishmania major";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"";"";"CHEMBL1144807";"18257536";"10.1021/np8000317";"2008";"J Nat Prod";"71";"469";"472";"";"";"";"";"";""
"CHEMBL2445755";"F";"Antipromastigote activity against Leishmania braziliensis MCAN/BR/98/R619 after 24 hrs by MTT assay";"Leishmania braziliensis";"25";"26";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MCAN/BR/98/R619";"Scientific Literature";"5660";"";"";"";"";"CHEMBL2440095";"24125880";"10.1016/j.bmcl.2013.09.062";"2013";"Bioorg Med Chem Lett";"23";"6310";"6312";"";"";"";"";"";""
"CHEMBL715894";"F";"Tested in vivo for anti-leishmanial activity against Leishmania donovani infected hamster auratus after oral dose of 25 mg/kg X 5 on day 7th";"Cricetulus griseus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10029";"";"";"";"";"CHEMBL1129877";"None";"10.1016/S0960-894X(97)00087-5";"1997";"Bioorg Med Chem Lett";"7";"675";"680";"standard_type:DOSE standard_relation:= standard_value:25.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1010478";"F";"Antileishmanial activity against Leishmania donovani (MHOM/ET/67/L82) promastigotes";"Leishmania donovani";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1150657";"12398543";"10.1021/np010419i";"2002";"J Nat Prod";"65";"1457";"1461";"";"";"";"";"";""
"CHEMBL731519";"F";"LDUs (Leishmania Donovan Units) in liver The liver parasite burden expressed as Leishmania Donovanii units at";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"CHEMBL3559723";"Liver";"";"";"CHEMBL1124964";"2296034";"10.1021/jm00163a008";"1990";"J Med Chem";"33";"44";"48";"";"";"";"";"";""
"CHEMBL3615203";"F";"Leishmanicidal activity against Leishmania amazonensis MHOM/BR/87/BA125 after 48 hrs";"Leishmania amazonensis";"17";"17";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/BR/87/BA125";"Scientific Literature";"5659";"";"";"";"";"CHEMBL3612006";"26107111";"10.1016/j.ejmech.2015.06.014";"2015";"Eur J Med Chem";"101";"1";"12";"";"";"";"";"";""
"CHEMBL926632";"F";"Antileishmanial activity against Leishmania major MHOM/IL/81/FE/BNI infected in BALB/c mouse";"Leishmania major";"44";"44";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IL/81/FE/BNI";"Scientific Literature";"5664";"";"";"";"";"CHEMBL1140714";"18159921";"10.1021/jm070763y";"2008";"J Med Chem";"51";"238";"250";"";"";"";"";"";""
"CHEMBL1055760";"F";"Antileishmanial activity against Leishmania donovani MHOM/IN/Dd8 promastigote carrying firefly luciferase gene infected in mouse J774A1 cells assessed as relative luminescence unit at 10 ug/mL after 72 hrs";"Leishmania donovani";"18";"18";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/Dd8";"Scientific Literature";"5661";"";"";"J774.A1";"";"CHEMBL1153538";"19743860";"10.1021/jm900564x";"2009";"J Med Chem";"52";"5793";"5802";"";"";"";"";"";""
"CHEMBL709202";"F";"In vitro inhibitory activity against Leishmania amazonensis (PH8)";"Leishmania amazonensis";"52";"52";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1133906";"11514152";"10.1016/s0960-894x(01)00387-0";"2001";"Bioorg Med Chem Lett";"11";"2123";"2126";"";"";"";"";"";""
"CHEMBL3879756";"F";"Antileishmanial activity against luciferase-expressing Leishmania major amastigotes infected in mouse RAW264.7 cells after 96 hrs by luminescence assay";"Leishmania major";"32";"32";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"RAW264.7";"";"CHEMBL3877338";"28337329";"10.1021/acsmedchemlett.7b00011";"2017";"ACS Med Chem Lett";"8";"350";"354";"";"";"";"";"";""
"CHEMBL689388";"F";"Antileishmanial activity against Leishmania donovani in hamsters at a concentration of 13 mg/kg";"Cricetulus griseus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10029";"";"";"";"";"CHEMBL1121602";"7411553";"10.1021/jm00183a004";"1980";"J Med Chem";"23";"981";"985";"standard_type:DOSE standard_relation:= standard_value:13.0 standard_units:mg.kg-1 comments:None";"";"";"";"";""
"CHEMBL917487";"F";"Effect on plasma membrane phospholipid composition in wild type Leishmania donovani LV9 assessed as increase in phosphatidyl ethanolamine at 10 uM after 48 hrs";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV9";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1147093";"17242145";"10.1128/aac.01123-06";"2007";"Antimicrob Agents Chemother";"51";"1425";"1430";"";"";"";"";"";""
"CHEMBL913271";"F";"Reversal of growth inhibition of Leishmania donovani promastigotes at 50 uM after 48 hrs of 1 mM spermidine treatment";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1142176";"17101681";"10.1128/aac.01055-06";"2007";"Antimicrob Agents Chemother";"51";"528";"534";"";"";"";"";"";""
"CHEMBL706407";"F";"The compound was tested in vitro for inhibition of Leishmania infantum Amastigotes growth at the specified concentration 6.25 uM";"Leishmania infantum";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"";"";"";"";"CHEMBL1132445";"10543874";"10.1021/jm981130+";"1999";"J Med Chem";"42";"4300";"4312";"";"";"";"";"";""
"CHEMBL2342148";"F";"Antileishmanial activity against promastigote form of Leishmania infantum MCAN/ES/2001/UCM-10 infected in J774.2 cells assessed as inhibition of infection in host cells at IC25 concentration incubated for 12 hrs followed by compound washout measured after 48 hrs by microscopic analysis";"Leishmania infantum";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MCAN/ES/2001/UCM-10";"Scientific Literature";"5671";"";"";"J774.2";"";"CHEMBL2331406";"23395967";"10.1016/j.ejmech.2013.01.001";"2013";"Eur J Med Chem";"62";"466";"477";"";"";"";"";"";""
"CHEMBL1266622";"F";"Antileishmanial activity Leishmania major V121 promastigotes infected in mouse bone marrow-derived macrophage assessed as inhibition of cell invasion at 10 uM after 48 hrs by microscopy";"Leishmania major";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"V121";"Scientific Literature";"5664";"";"";"";"";"CHEMBL1255431";"20160053";"10.1128/aac.01634-09";"2010";"Antimicrob Agents Chemother";"54";"1712";"1719";"";"";"";"";"";""
"CHEMBL3285759";"F";"Antiprotozoal activity against high myocardial tissue infiltration leishmanial form of Trypanosoma cruzi BHC/10 infected in CFW mouse assessed as increase in host mean survival time at 25 mg/kg, po administered daily for 10 days starting 4 hrs post-parasite infection";"Trypanosoma cruzi";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"BHC/10";"Scientific Literature";"5693";"";"";"";"";"CHEMBL3272125";"406399";"10.1021/jm00217a017";"1977";"J Med Chem";"20";"946";"949";"standard_type:DOSE standard_relation:= standard_value:25.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL3285760";"F";"Antiprotozoal activity against high myocardial tissue infiltration leishmanial form of Trypanosoma cruzi BHC/10 infected in CFW mouse assessed as increase in host mean survival time at 10 mg/kg, po administered daily for 10 days starting 4 hrs post-parasite infection";"Trypanosoma cruzi";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"BHC/10";"Scientific Literature";"5693";"";"";"";"";"CHEMBL3272125";"406399";"10.1021/jm00217a017";"1977";"J Med Chem";"20";"946";"949";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL3297541";"F";"Antileishmanial activity against intracellular amastigote stage of Leishmania donovani MHOM/ET/67/L82 infected in mouse J774A1 cells by colorimetric assay";"Leishmania donovani";"29";"29";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/ET/67/L82";"Scientific Literature";"5661";"";"";"J774.A1";"";"CHEMBL3286201";"24874647";"10.1021/jm5000408";"2014";"J Med Chem";"57";"5141";"5156";"";"";"";"";"";""
"CHEMBL3265901";"F";"Antileishmanial activity against Leishmania donovani MHOM/IN/80/Dd8 amastigotes infected in syrian golden hamster assessed as decrease in parasite count in spleen at 30 mg/kg/day, po for 5 days measured on day 7 after last dose administration by giemsa staining";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/80/Dd8";"Scientific Literature";"5661";"CHEMBL3559722";"Spleen";"";"";"CHEMBL3259690";"24635539";"10.1021/jm401893j";"2014";"J Med Chem";"57";"3342";"3357";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL707078";"F";"The compound was tested for growth inhibition against DNM-R150 (Leishmania tropica) parasites, at a concentration of 15 uM";"Leishmania tropica";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5666";"";"";"";"";"CHEMBL1132450";"10543882";"10.1021/jm991066b";"1999";"J Med Chem";"42";"4388";"4393";"";"";"";"";"";""
"CHEMBL707032";"F";"In vitro evaluation of leishmanicidal activity against Leishmania amazonensis (PH8) at a dose 100 ug/mL; +++= total prevention of parasites";"Leishmania amazonensis";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1132138";"10509921";"10.1016/s0960-894x(99)00453-9";"1999";"Bioorg Med Chem Lett";"9";"2711";"2714";"";"";"";"";"";""
"CHEMBL3135046";"F";"Antiprotozoal activity against intracellular amastigote stage of Leishmania major infected in mouse RAW246.7 cells assessed as growth inhibition after 96 hrs by luciferase reporter gene assay";"Leishmania major";"19";"19";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"";"";"CHEMBL3132763";"24910766";"10.1039/c4md00045e";"2014";"Medchemcomm";"5";"655";"658";"";"";"";"";"";""
"CHEMBL965881";"F";"Antileishmanial activity against Leishmania donovani MHOM/IN/1983/AG83 promastigotes infected BALB/c mouse assessed as spleen weight at 12.5 mg/kg, ip administered two times per week for 4 weeks";"Leishmania donovani";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/1983/AG83";"Scientific Literature";"5661";"CHEMBL3559722";"Spleen";"";"";"CHEMBL1153864";"18538452";"10.1016/j.ejmech.2008.04.014";"2009";"Eur J Med Chem";"44";"845";"853";"standard_type:DOSE standard_relation:= standard_value:12.5 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL2344087";"F";"Antileishmanial activity against promastigote form of Leishmania braziliensis MHOM/BR/1975/M2904 assessed as change in succinate metabolite production at IC25 concentration after 96 hrs by H1-NMR analysis";"Leishmania braziliensis";"4";"4";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"MHOM/BR/75/M2904";"Scientific Literature";"5660";"";"";"";"";"CHEMBL2331406";"23395967";"10.1016/j.ejmech.2013.01.001";"2013";"Eur J Med Chem";"62";"466";"477";"";"";"";"";"";""
"CHEMBL3073901";"F";"Antileishmanial activity against amastigote form of Leishmania aethiopica MHOM/ET/82/117-82 infected in BALB/c mouse peritoneal exudate macrophages after 5 days";"Leishmania aethiopica";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/ET/82/117-82";"Scientific Literature";"5667";"";"";"";"";"CHEMBL3045885";"None";"10.1007/s00044-013-0467-x";"2013";"Med Chem Res";"22";"4592";"4599";"";"";"";"";"";""
"CHEMBL1054803";"F";"Antileishmanial activity against Leishmania donovani MHOH/IN/1983/AD83 promastigotes assessed as decrease in rate of oxygen consumption at 30 ug/mL after 2 hrs by polarographically with Clark electrode";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOH/IN/1983/AD83";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1152463";"17954702";"10.1128/aac.00522-07";"2008";"Antimicrob Agents Chemother";"52";"374";"377";"";"";"";"";"";""
"CHEMBL3136198";"F";"Antiparasitic activity against promastigote forms of Leishmania donovani MHOM/ET/67/HU3) infected in RAW 264.7 cells after 48 hrs by SYBR Green I assay";"Leishmania donovani";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/ET/67/HU3)";"Scientific Literature";"5661";"";"";"";"";"CHEMBL3132816";"None";"10.1039/C3MD00065F";"2013";"Medchemcomm";"4";"1034";"1041";"";"";"";"";"";""
"CHEMBL689394";"F";"Antileishmanial activity against Leishmania donovani in hamsters at a concentration of 208 mg/kg.";"Cricetulus griseus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10029";"";"";"";"";"CHEMBL1121602";"7411553";"10.1021/jm00183a004";"1980";"J Med Chem";"23";"981";"985";"standard_type:DOSE standard_relation:= standard_value:208.0 standard_units:mg.kg-1 comments:None";"";"";"";"";""
"CHEMBL3255002";"F";"Antileishmanial activity against Leishmania donovani infected in golden hamster administered for 8 days";"Leishmania donovani";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL3244288";"114654";"10.1021/jm00194a024";"1979";"J Med Chem";"22";"1005";"1008";"";"";"";"";"";""
"CHEMBL709017";"F";"Tested in vitro for leishmanicidal activity against Leishmania amazonensis (PH8) at the concentration of 100 ug/mL; + indicates less than 70% lysis of parasites";"Leishmania amazonensis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1135076";"11844694";"10.1016/s0960-894x(01)00837-x";"2002";"Bioorg Med Chem Lett";"12";"659";"662";"";"";"";"";"";""
"CHEMBL1052446";"F";"Antileishmanial activity against Leishmania donovani MHOH/IN/1983/AD83 amastigotes infected in BALB/c mouse peritoneal macrophage assessed as cell killing at 15 ug/mL treated 6 hrs after infection measured after 48 hrs using Giemsa staining relative to control";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOH/IN/1983/AD83";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1152463";"17954702";"10.1128/aac.00522-07";"2008";"Antimicrob Agents Chemother";"52";"374";"377";"";"";"";"";"";""
"CHEMBL709597";"F";"Inhibition of [3H]-thymidine uptake in amastigotes of Leishmania donovani in infected human peripheral blood monocyte derived macrophages at a dose of 10 ug/ml";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1128838";"None";"10.1016/0960-894X(95)00053-V";"1995";"Bioorg Med Chem Lett";"5";"449";"452";"";"";"";"";"";""
"CHEMBL706980";"F";"Effective dose was determined for extracellular promastigotes of Leishmania mexicana BEL21 at 72 h";"Leishmania mexicana";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5665";"";"";"";"";"CHEMBL1148294";"14695832";"10.1021/jm030868a";"2004";"J Med Chem";"47";"188";"195";"";"";"";"";"";""
"CHEMBL983458";"F";"Antileishmanial activity against Leishmania donovani MHOM/IN/80/Dd8 amastigotes infected in mouse J774A1 cells at 200 ug/mL after 72 hrs by MTT assay relative to control";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/80/Dd8";"Scientific Literature";"5661";"";"";"J774.A1";"";"CHEMBL1144176";"18752963";"10.1016/j.bmc.2008.08.024";"2008";"Bioorg Med Chem";"16";"8482";"8491";"";"";"";"";"";""
"CHEMBL1028870";"F";"Reduction of IL6 production in IFN-gamma-stimulated BALB/c mouse peritoneal macrophages infected with Leishmania major MHOM/IL/81/FE/BNI promastigotes at 3 uM after 24 hrs by sandwich ELISA";"Mus musculus";"4";"4";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"BALB/c";"Scientific Literature";"10090";"";"";"Macrophage";"";"CHEMBL1143311";"19117415";"10.1021/jm801084u";"2009";"J Med Chem";"52";"626";"636";"";"";"";"";"";""
"CHEMBL983693";"F";"Antileishmanial activity against wild-type Leishmania infantum MHOM/MA/67/ITMAP-263 promastigotes infected in human THP1 cells by luciferase based assay";"Leishmania infantum";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"";"";"THP-1";"";"CHEMBL1155136";"17452480";"10.1128/aac.00404-07";"2007";"Antimicrob Agents Chemother";"51";"3030";"3032";"";"";"";"";"";""
"CHEMBL918374";"F";"Effect on total membrane sterol composition in Leishmania donovani LV9 promastigotes assessed as reduction in total C24 alkyl sterol content";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV9";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1147093";"17242145";"10.1128/aac.01123-06";"2007";"Antimicrob Agents Chemother";"51";"1425";"1430";"";"";"";"";"";""
"CHEMBL916927";"F";"Effect on total membrane sterol composition in Leishmania donovani LV9 promastigotes assessed by measuring 14-alpha-Methylcholesta-5,7,24-trien-3beta-ol content at 10 uM";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV9";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1147093";"17242145";"10.1128/aac.01123-06";"2007";"Antimicrob Agents Chemother";"51";"1425";"1430";"";"";"";"";"";""
"CHEMBL3587079";"F";"Antileishmanial activity against Leishmania infantum promastigotes infected in ICR (CD1) mouse assessed as reduction in parasite load in liver at 200 mg/kg, po dosed daily starting 28 days after infection for 14 days by real-time PCR co-treated with 104 mg Sb'v/kg/day, ip meglumine antimoniate for 14 days";"Leishmania infantum";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"CHEMBL3559723";"Liver";"";"";"CHEMBL3585262";"26076227";"10.1021/np5008697";"2015";"J Nat Prod";"78";"1202";"1207";"";"";"";"";"";""
"CHEMBL2421934";"F";"Antileishmanial activity against amastigotes forms of Leishmania donovani MHOM/ET/67/HU3 infected in Swiss mouse peritoneal macrophages at 20 uM after 5 days";"Leishmania donovani";"20";"20";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/ET/67/HU3";"Scientific Literature";"5661";"";"";"";"";"CHEMBL2417506";"23851117";"10.1016/j.ejmech.2013.06.002";"2013";"Eur J Med Chem";"67";"158";"165";"";"";"";"";"";""
"CHEMBL705525";"F";"Effective dose was determined for extracellular promastigotes of Leishmania aethiopica Khartoum at 72 h";"Leishmania aethiopica";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5667";"";"";"";"";"CHEMBL1148294";"14695832";"10.1021/jm030868a";"2004";"J Med Chem";"47";"188";"195";"";"";"";"";"";""
"CHEMBL1637831";"F";"Antimicrobial activity against Leishmania donovani K59M20 promastigote";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K59M20";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL4344850";"F";"Antileishmanial activity against Leishmania major amastigotes infected in mouse RAW 264.7 cells by luciferase reporter gene assay";"Leishmania major";"45";"45";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"";"";"CHEMBL4342474";"32184953";"10.1021/acsmedchemlett.9b00453";"2020";"ACS Med Chem Lett";"11";"249";"257";"";"";"";"";"";""
"CHEMBL4054088";"F";"Antileishmanial activity against Leishmania (Viannia) braziliensis infected in human assessed as cure rate at 5 to 8 mg/kg/day, po for 4 weeks";"Leishmania braziliensis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5660";"";"";"";"";"CHEMBL4052627";"28456033";"10.1016/j.ejmech.2017.04.044";"2017";"Eur J Med Chem";"135";"241";"259";"";"";"";"";"";""
"CHEMBL4054054";"F";"Antileishmanial activity against Leishmania major LV39 Rho/SU/59/P promastigote forms harboring C14DM null mutant after 48 hrs";"Leishmania major";"1";"1";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"LV39 Rho/SU/59/P";"Scientific Literature";"5664";"";"";"";"";"CHEMBL4052627";"28456033";"10.1016/j.ejmech.2017.04.044";"2017";"Eur J Med Chem";"135";"241";"259";"";"";"";"";"";""
"CHEMBL4306889";"F";"Potency index, ratio of miltefosine IC50 for Leishmania major amastigote form to compound IC50 for Leishmania major amastigote form";"Leishmania major";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"";"";"CHEMBL4304772";"31260888";"10.1016/j.ejmech.2019.06.051";"2019";"Eur J Med Chem";"179";"335";"346";"";"";"";"";"";""
"CHEMBL2438024";"F";"Selectivity index, ratio of CC50 for African green monkey Vero cells to IC50 for Leishmania donovani MHOM/IN/80/Dd8 amastigotes";"";"26";"26";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"Vero";"";"CHEMBL2434876";"24095747";"10.1016/j.ejmech.2013.08.028";"2013";"Eur J Med Chem";"69";"527";"536";"";"";"";"";"";""
"CHEMBL710668";"F";"Tested in vitro for leishmanicidal activity against Leishmania amazonensis (PH8) at the concentration of 10 ug/mL; ++ indicates 80-90% lysis of parasites";"Leishmania amazonensis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1135076";"11844694";"10.1016/s0960-894x(01)00837-x";"2002";"Bioorg Med Chem Lett";"12";"659";"662";"";"";"";"";"";""
"CHEMBL700190";"F";"Percent inhibition on the biosynthesis of proteins of promastigotes of Leishmania donovani at 5.25 uM concentration";"Leishmania donovani";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1124490";"2470903";"10.1021/jm00126a021";"1989";"J Med Chem";"32";"1272";"1276";"";"";"";"";"";""
"CHEMBL916932";"F";"Effect on total membrane sterol composition in Leishmania donovani LV9 promastigotes assessed by measuring stigmasta-7,24(24')-dien-3beta-ol content at 10 uM";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV9";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1147093";"17242145";"10.1128/aac.01123-06";"2007";"Antimicrob Agents Chemother";"51";"1425";"1430";"";"";"";"";"";""
"CHEMBL887242";"F";"Inhibition of Leishmania donovani HOM/IN/80/DD8 in hamster at 12.5 mg/kg, po after 7 days";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"HOM/IN/80/DD8";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1144578";"17178176";"10.1016/j.ejmech.2006.09.016";"2007";"Eur J Med Chem";"42";"511";"516";"standard_type:DOSE standard_relation:= standard_value:12.5 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL942255";"F";"Antiparasitic activity against Leishmania donovani promastigotes assessed as reduction of membrane potential 10 uM by rhodamine 123 assay";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1140848";"19058972";"10.1016/j.bmc.2008.11.031";"2009";"Bioorg Med Chem";"17";"820";"829";"";"";"";"";"";""
"CHEMBL1104488";"F";"Antileishmanial activity against Leishmania amazonensis Lma CL1 amastigotes infected BALB/c mouse macrophages after 48 hrs by Giemsa staining method";"Leishmania amazonensis";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Lma CL1";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1156236";"20356752";"10.1016/j.bmc.2010.03.018";"2010";"Bioorg Med Chem";"18";"2880";"2886";"";"";"";"";"";""
"CHEMBL872064";"F";"Percent inhibition on the growth of the promastigotes of Leishmania donovani at 37 uM concentration";"Leishmania donovani";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1124490";"2470903";"10.1021/jm00126a021";"1989";"J Med Chem";"32";"1272";"1276";"";"";"";"";"";""
"CHEMBL2416386";"F";"Selectivity index, ratio of CC50 for mouse peritoneal macrophages to IC50 for promastigote form of Leishmania amazonensis MHOM/BR/71973/M2269";"";"4";"4";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL2413026";"23623672";"10.1016/j.bmc.2013.03.045";"2013";"Bioorg Med Chem";"21";"3114";"3119";"";"";"";"";"";""
"CHEMBL2448780";"F";"DNDI: Leish (macro) in Vitro";"Leishmania infantum";"7";"18";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/MA(BE)/67";"Drugs for Neglected Diseases Initiative (DNDi)";"5671";"";"";"";"";"CHEMBL2448688";"None";"10.6019/CHEMBL2448688";"None";"None";"None";"None";"None";"";"";"";"";"";""
